"","scientific_name"
"1","Anthophora californica"
"2","Apis mellifera"
"3","Bombus sonorus"
"4","Xylocopa californica arizonensis"
"5","Xylocopa californica"
"6","Xylocopa sonorina"
"7","Copaeodes aurantiaca"
"8","Erynnis funeralis"
"9","Hylephila phyleus"
"10","Lerodea eufala"
"11","Brephidium exilis"
"12","Echinargus isola"
"13","Hemiargus ceraunus"
"14","Leptotes marina"
"15","Strymon melinus"
"16","Agraulis vanillae"
"17","Anthanassa texana"
"18","Asterocampa celtis"
"19","Chlosyne lacinia"
"20","Danaus gilippus"
"21","Danaus plexippus"
"22","Junonia coenia"
"23","Junonia nigrosuffusa"
"24","Libytheana carinenta"
"25","Vanessa cardui"
"26","Vanessa virginiensis"
"27","Battus philenor"
"28","Papilio polyxenes asterius"
"29","Papilio polyxenes"
"30","Papilio rumiko"
"31","Colias eurytheme"
"32","Phoebis agarithe"
"33","Phoebis sennae"
"34","Pontia protodice"
"35","Zerene cesonia"
"36","Calephelis nemesis"
